,food_id,rest_id,food_name,food_price
310,1551,129,Tàu hủ bánh flan,27000.0
311,501,129,Tàu hủ thập cẩm mít,29000.0
312,242,129,Tàu hủ phô mai,27000.0
313,1169,129,Tàu hủ ngũ sắc mít,27000.0
314,1290,129,Tàu hũ ngũ sắc,25000.0
315,1358,129,Tàu Hủ Xôi Dừa,32000.0
316,1483,129,TÀU DƯỠNG NHÃN,37000.0
317,1530,283,Tai heo sốt trứ danh San Fu Lou,95040.0
318,1530,283,Tai heo sốt trứ danh San Fu Lou,95040.0
319,1530,283,Tai heo sốt trứ danh San Fu Lou,95040.0
320,1530,283,Tai heo sốt trứ danh San Fu Lou,95040.0
321,413,283,Bắp bò kiểu Quảng Đông,116640.0
322,413,283,Bắp bò kiểu Quảng Đông,116640.0
323,413,283,Bắp bò kiểu Quảng Đông,116640.0
324,413,283,Bắp bò kiểu Quảng Đông,116640.0
325,283,283,"Món quay tổng hợp San Fu Lou (gà quay, vịt quay, xá xíu)",289440.0
326,283,283,"Món quay tổng hợp San Fu Lou (gà quay, vịt quay, xá xíu)",289440.0
327,283,283,"Món quay tổng hợp San Fu Lou (gà quay, vịt quay, xá xíu)",289440.0
328,283,283,"Món quay tổng hợp San Fu Lou (gà quay, vịt quay, xá xíu)",289440.0
329,535,283,Vịt quay kiểu Hong Kong,203040.0
330,535,283,Vịt quay kiểu Hong Kong,203040.0
331,535,283,Vịt quay kiểu Hong Kong,203040.0
332,535,283,Vịt quay kiểu Hong Kong,203040.0
333,1531,283,Xá xíu San Fu Lou,181440.0
334,1531,283,Xá xíu San Fu Lou,181440.0
335,1531,283,Xá xíu San Fu Lou,181440.0
336,1531,283,Xá xíu San Fu Lou,181440.0
337,1381,283,Gà quay sả sốt mè,181440.0
338,1381,283,Gà quay sả sốt mè,181440.0
339,1381,283,Gà quay sả sốt mè,181440.0
340,1381,283,Gà quay sả sốt mè,181440.0
341,564,283,Chân gà hấp tàu xì,64800.0
342,564,283,Chân gà hấp tàu xì,64800.0
343,564,283,Chân gà hấp tàu xì,64800.0
344,564,283,Chân gà hấp tàu xì,64800.0
345,514,283,Há cảo tôm sò điệp 3 pcs,73440.0
346,514,283,Há cảo tôm sò điệp 3 pcs,73440.0
347,514,283,Há cảo tôm sò điệp 3 pcs,73440.0
348,514,283,Há cảo tôm sò điệp 3 pcs,73440.0
349,1800,283,"Xíu mại nấm hương thịt cua, trứng cá 3 pcs",62640.0
350,1800,283,"Xíu mại nấm hương thịt cua, trứng cá 3 pcs",62640.0
351,1800,283,"Xíu mại nấm hương thịt cua, trứng cá 3 pcs",62640.0
352,1800,283,"Xíu mại nấm hương thịt cua, trứng cá 3 pcs",62640.0
353,1117,283,"Xíu mại nấm hương thịt cua, trứng cá 6 pcs",105840.0
354,1117,283,"Xíu mại nấm hương thịt cua, trứng cá 6 pcs",105840.0
355,1117,283,"Xíu mại nấm hương thịt cua, trứng cá 6 pcs",105840.0
356,1117,283,"Xíu mại nấm hương thịt cua, trứng cá 6 pcs",105840.0
357,1516,863,Bánh tráng nướng thập cẩm,16000.0
358,1823,863,Nem chua nướng,13000.0
359,669,863,Bánh tráng nướng trứng,9000.0
360,1487,863,Bánh tráng nướng trứng + ruốc,12000.0
361,918,863,Bánh tráng nướng trứng + tóp mỡ,15000.0
362,712,863,Cút lộn xào me,22000.0
363,128,863,Bánh tráng nướng trứng + nem,14000.0
364,730,863,Chả cuốn,16000.0
365,468,863,Bánh tráng nướng không trứng,8000.0
366,286,863,Bánh mỡ hành,12000.0
