rest_name,rest_address,time_open,price,avg_score,quality_score,price_score,service_score,space_score,location_score,link
Bánh Mì Má Hải - Ni Sư Huỳnh Liên,"121 Ni Sư Huỳnh Liên, P. 10, Quận Tân Bình, TP. HCM",06:00 - 21:00,13.000 - 20.000,_._,--,--,--,--,--,https://www.foody.vn/ho-chi-minh/banh-mi-ma-hai-ni-su-huynh-lien
Nét Huế - Times City,"Tầng B1-D9-13 T2 Times City, 458 Minh Khai, P. Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội",09:00 - 21:30,30.000 - 200.000,6.1,6.3,6.3,3.7,7.3,7.0,https://www.foody.vn/ha-noi/net-hue-times-city
Rainbow Yogurt - Trần Hưng Đạo,"310 Trần Hưng Đạo, Quận 1, TP. HCM",08:00 - 22:00,25.000 - 50.000,7.6,7.8,7.1,7.2,7.9,8.0,https://www.foody.vn/ho-chi-minh/rainbow-yogurt-tran-hung-dao
Bánh Mì Má Hải - Đinh Bộ Lĩnh,"357 Đinh Bộ Lĩnh, P. 26, Quận Bình Thạnh, TP. HCM",06:00 - 19:00,10.000 - 40.000,_._,--,--,--,--,--,https://www.foody.vn/ho-chi-minh/banh-mi-ma-hai-dinh-bo-linh
Nét Huế - Vincom Nguyễn Chí Thanh,"BH 06-07 TTTM Vincom Nguyễn Chí Thanh, 54A Nguyễn Chí Thanh, P. Láng Hạ, Quận Đống Đa, Hà Nội",09:00 - 21:00,35.000 - 55.000,,5.7,5.3,5.7,5.7,5.7,https://www.foody.vn/ha-noi/net-hue-vincom-nguyen-chi-thanh
Bánh Mì Má Hải - Nguyễn Trọng Tuyển,"387 Nguyễn Trọng Tuyển, P. 2, Quận Tân Bình, TP. HCM",06:00 - 19:00,10.000 - 50.000,_._,--,--,--,--,--,https://www.foody.vn/ho-chi-minh/banh-mi-ma-hai-nguyen-trong-tuyen
Rainbow Yogurt - Kinh Dương Vương,"56 Kinh Dương Vương, Quận 6, TP. HCM",11:00 - 22:00,15.000 - 50.000,7.0,6.9,5.8,6.8,7.8,7.6,https://www.foody.vn/ho-chi-minh/rainbow-yogurt-kinh-duong-vuong
Chattea - Trà Chất - Phan Văn Trị,"624 Phan Văn Trị, P. 7, Quận Gò Vấp, TP. HCM",10:00 - 23:00,15.000 - 30.000,8.1,8.6,8.2,8.4,7.7,7.7,https://www.foody.vn/ho-chi-minh/chattea-tra-chat-phan-van-tri
Chattea - Trà Chất - Thạnh Lộc 29,"7A Thạnh Lộc 29, P. Thạnh Lộc, Quận 12, TP. HCM",09:00 - 22:00,14.000 - 28.000,8.0,10.0,8.0,10.0,7.0,5.0,https://www.foody.vn/ho-chi-minh/chattea-tra-chat-thanh-loc-29
Cô Ba - Bắp Xào Trứng Muối - Cao Thắng,"60B Cao Thắng, P. 5, Quận 3, TP. HCM",14:00 - 20:30,25.000 - 50.000,6.2,6.6,5.7,6.4,5.7,6.5,https://www.foody.vn/ho-chi-minh/co-ba-bap-xao-trung-muoi
